"Sample","Score_1B"
"P1-noXY",0.333333333333333
"P10-noXY",0.333333333333333
"P11-noXY",0.4
"P12-noXY",0.4
"P13-noXY",0.4
"P14-noXY",0.4
"P15-noXY",0.5
"P16-noXY",0.5
"P17-noXY",0.4
"P18-noXY",0.5
"P19-noXY",0.5
"P2-noXY",0.333333333333333
"P20-noXY",1
"P21-noXY",0.75
"P23-noXY",0.4
"P24-noXY",0.8
"P25-noXY",0.5
"P3-noXY",0.4
"P4-noXY",0.5
"P5-noXY",1
"P8-noXY",1
"P9-noXY",0.5
"S10-noXY",0.333333333333333
"S2-noXY",0.4
"S3-noXY",0.4
"S4-noXY",1
"S5-noXY",0.5
"S6-noXY",0.4
"S7-noXY",0.4
"S8-noXY",0.4
"S9-noXY",0.333333333333333
"T0-noXY",0.4
"T10-noXY",0.5
"T11-noXY",0.75
"T12-noXY",0.5
"T13-noXY",0.5
"T14-noXY",0.5
"T15-noXY",0.4
"T16-noXY",0.5
"T2-noXY",1
"T3-noXY",0.75
"T4-noXY",0.5
"T5-noXY",0.4
"T6-noXY",0.5
"T7-noXY",0.333333333333333
"T9-noXY",1
