"Sample","Mutation_count_in_fitting","Tail","Tail_power","Tail_pareto_shape","Tail_pareto_scale","Tail_mutcount_observed","Cluster_count","Cluster_mutcount_observed_1","Cluster_frequency_1","Cluster_beta_a_1","Cluster_beta_b_1","Cluster_mutcount_observed_2","Cluster_frequency_2","Cluster_beta_a_2","Cluster_beta_b_2","Cluster_mutcount_observed_3","Cluster_frequency_3","Cluster_beta_a_3","Cluster_beta_b_3"
"003819bc-c415-4e76-887c-931d60ed39e7",115,FALSE,NA,NA,NA,0,2,60,0.368526128845015,11.9472052841594,20.4716772564157,55,0.107737746319487,9.43798720111131,78.1635036739976,NA,NA,NA,NA
"0040b1b6-b07a-4b6e-90ef-133523eaf412",6104,FALSE,NA,NA,NA,0,1,6104,0.399874947539982,6.52629920288545,9.79455121056266,NA,NA,NA,NA,NA,NA,NA,NA
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",1783,TRUE,1.91246248262119,0.912462482621187,0.031249999,345,2,1053,0.460466707624559,36.2743347309461,42.5029886461922,385,0.269885356830542,14.4701808611575,39.1458471853111,NA,NA,NA,NA
"005794f1-5a87-45b5-9811-83ddf6924568",5791,TRUE,1.46396443754176,0.46396443754176,0.0106382968723404,399,1,5392,0.290575597653009,12.0402767675999,29.3956760957848,NA,NA,NA,NA,NA,NA,NA,NA
"005e85a3-3571-462d-8dc9-2babfc7ace21",1297,FALSE,NA,NA,NA,0,1,1297,0.162298766991606,3.92605873967275,20.2642589839104,NA,NA,NA,NA,NA,NA,NA,NA
"008aef39-0c97-48ce-9dfd-f12d67116c59",3338,FALSE,NA,NA,NA,0,2,2906,0.350689948806128,16.6445987918502,30.8178358987198,432,0.08168665736831,6.74207630527144,75.7937566260807,NA,NA,NA,NA
"008bad10-d41b-4bbb-86fa-9976ecea46b1",2290,FALSE,NA,NA,NA,0,1,2290,0.146881960581076,5.13217512509404,29.8086379249957,NA,NA,NA,NA,NA,NA,NA,NA
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",4071,TRUE,1.70662534510636,0.706625345106356,0.0416666656666667,83,1,3988,0.459860559883999,10.7431767585559,12.6186370079169,NA,NA,NA,NA,NA,NA,NA,NA
"00c27940-c623-11e3-bf01-24c6515278c0",12837,FALSE,NA,NA,NA,0,1,12837,0.31832243704169,9.08279834066102,19.4505291403405,NA,NA,NA,NA,NA,NA,NA,NA
"0168a2a6-c3af-4d58-a51c-d33f0fc7876d",6784,FALSE,NA,NA,NA,0,1,6784,0.227341224130728,8.26951506146476,28.1053883159779,NA,NA,NA,NA,NA,NA,NA,NA
"01c8e465-2b4e-4519-bdef-c3ac06b43eeb",3317,FALSE,NA,NA,NA,0,2,1707,0.441164198013173,14.6511488153044,18.5590456684894,1610,0.105944585054314,5.4326761888815,45.8457934572675,NA,NA,NA,NA
"01dc6872-c623-11e3-bf01-24c6515278c0",8770,FALSE,NA,NA,NA,0,1,8770,0.279108980253285,6.72232928988619,17.3626330921405,NA,NA,NA,NA,NA,NA,NA,NA
"02078f77-2b35-4fa3-ab02-2c017181295e",226,FALSE,NA,NA,NA,0,2,116,0.394317710299778,12.5183275729521,19.228477721274,110,0.120314942115415,8.34862066512365,61.0411036561916,NA,NA,NA,NA
"02706819-bcab-4c49-a569-a4a8c60db1c0",81,FALSE,NA,NA,NA,0,1,81,0.156612491659361,6.89284687046755,37.1192673449156,NA,NA,NA,NA,NA,NA,NA,NA
"02917220-6a7a-46a1-8656-907e96bef88e",20349,FALSE,NA,NA,NA,0,1,20349,0.226082868122368,7.05924582665947,24.1649061194253,NA,NA,NA,NA,NA,NA,NA,NA
"0292a46f-a282-4b7f-a7d6-ac55cc7324fb",303,FALSE,NA,NA,NA,0,1,303,0.231620016090202,2.68571592260232,8.90963739762366,NA,NA,NA,NA,NA,NA,NA,NA
"02e5c36f-5bec-45e2-a048-875653b85ca1",4148,FALSE,NA,NA,NA,0,2,1072,0.190619112419642,1.56856004986606,6.66020583806298,3076,0.385547733315372,19.6256211367455,31.2775989859158,NA,NA,NA,NA
"030695f6-c623-11e3-bf01-24c6515278c0",10261,FALSE,NA,NA,NA,0,1,10261,0.307739870866478,3.64362720950648,8.19633099690796,NA,NA,NA,NA,NA,NA,NA,NA
