"chr","start","end","Maj","Min","Cell_count","Clonal_frequency"
"1",1,249000000,1,1,1000,1
"2",1,242500000,1,1,1000,1
"3",1,198500000,1,1,1000,1
"4",1,190500000,1,1,1000,1
"6",1,171000000,1,1,1000,1
"7",1,159500000,3,1,1000,1
"10",1,134000000,2,1,1000,1
"11",1,135500000,1,1,1000,1
"13",1,114500000,2,1,1000,1
"14",1,107500000,1,1,1000,1
"15",1,102000000,3,1,1000,1
"17",1,83500000,1,1,1000,1
"18",1,80500000,3,1,1000,1
"19",1,59000000,1,1,1000,1
"20",1,64500000,1,1,1000,1
"22",1,51000000,1,1,1000,1
