"Time","Clonality","Clonal_fraction","Event","Chromosome","Start","End","Type","CN_parent","CN_child"
0.16027397260274,"clonal",1,"missegregation:+18","18",1,80500000,"+",2,3
0.20958904109589,"clonal",1,"missegregation:+9","9",1,138500000,"+",2,3
0.316952054794521,"clonal",1,"missegregation:+7","7",1,159500000,"+",2,3
0.340068493150685,"clonal",1,"missegregation:+9","9",1,138500000,"+",3,4
0.404280821917808,"clonal",1,"missegregation:+11","11",1,135500000,"+",2,3
0.449486301369863,"clonal",1,"missegregation:+13","13",1,114500000,"+",2,3
0.456164383561644,"clonal",1,"missegregation:+4","4",1,190500000,"+",2,3
0.497260273972603,"clonal",1,"missegregation:+16","16",1,90500000,"+",2,3
0.548116438356164,"clonal",1,"missegregation:+15","15",1,102000000,"+",2,3
0.574315068493151,"clonal",1,"missegregation:+7","7",1,159500000,"+",3,4
0.632876712328767,"clonal",1,"missegregation:+16","16",1,90500000,"+",3,4
0.747945205479452,"clonal",1,"missegregation:-12","12",1,133500000,"-",2,1
0.913356164383562,"subclonal",0.999,"missegregation:+15","15",1,102000000,"+",3,4
0.932876712328767,"subclonal",0.001,"missegregation:+11","11",1,135500000,"+",3,4
0.990924657534247,"subclonal",0.001,"missegregation:-6","6",1,171000000,"-",2,1
0.995034246575342,"subclonal",0.001,"missegregation:-4","4",1,190500000,"-",3,2
