"Time","Clonality","Clonal_fraction","Event","Chromosome","Start","End","Type","CN_parent","CN_child"
0.177739726027397,"clonal",1,"missegregation:+11","11",1,135500000,"+",2,3
0.255308219178082,"clonal",1,"missegregation:+15","15",1,102000000,"+",2,3
0.35958904109589,"clonal",1,"missegregation:+13","13",1,114500000,"+",2,3
0.367294520547945,"clonal",1,"missegregation:+15","15",1,102000000,"+",3,4
0.425856164383562,"clonal",1,"missegregation:+7","7",1,159500000,"+",2,3
0.467979452054795,"clonal",1,"missegregation:+1","1",1,249000000,"+",2,3
0.54041095890411,"clonal",1,"missegregation:+7","7",1,159500000,"+",3,4
0.575342465753425,"clonal",1,"missegregation:+8","8",1,145500000,"+",2,3
0.609246575342466,"clonal",1,"missegregation:+18","18",1,80500000,"+",2,3
0.677568493150685,"subclonal",0.948,"missegregation:+8","8",1,145500000,"+",3,4
0.69708904109589,"subclonal",0.052,"missegregation:+18","18",1,80500000,"+",3,4
0.736643835616438,"subclonal",0.02,"missegregation:-17","17",1,83500000,"-",2,1
0.953938356164384,"subclonal",0.002,"missegregation:-5","5",1,182000000,"-",2,1
0.958047945205479,"subclonal",0.001,"missegregation:-10","10",1,134000000,"-",2,1
0.955479452054795,"subclonal",0.001,"missegregation:-22","22",1,51000000,"-",2,1
