"Time","Clonality","Clonal_fraction","Event","Chromosome","Start","End","Type","CN_parent","CN_child"
0.207020547945205,"clonal",1,"missegregation:+18","18",1,80500000,"+",2,3
0.279452054794521,"clonal",1,"missegregation:+9","9",1,138500000,"+",2,3
0.323630136986301,"clonal",1,"missegregation:+15","15",1,102000000,"+",2,3
0.365753424657534,"clonal",1,"missegregation:+16","16",1,90500000,"+",2,3
0.430479452054795,"clonal",1,"missegregation:+13","13",1,114500000,"+",2,3
0.45513698630137,"clonal",1,"missegregation:+16","16",1,90500000,"+",3,4
0.507020547945205,"clonal",1,"missegregation:+18","18",1,80500000,"+",3,4
0.57791095890411,"clonal",1,"missegregation:+15","15",1,102000000,"+",3,4
0.628767123287671,"clonal",1,"missegregation:+10","10",1,134000000,"+",2,3
0.676541095890411,"clonal",1,"missegregation:+7","7",1,159500000,"+",2,3
0.71763698630137,"clonal",1,"missegregation:+7","7",1,159500000,"+",3,4
0.77722602739726,"subclonal",0.974,"missegregation:+9","9",1,138500000,"+",3,4
0.788527397260274,"subclonal",0.026,"missegregation:+8","8",1,145500000,"+",2,3
0.850171232876712,"subclonal",0.181,"missegregation:+21","21",1,47000000,"+",2,3
0.899486301369863,"subclonal",0.108,"missegregation:+21","21",1,47000000,"+",2,3
0.925684931506849,"subclonal",0.004,"missegregation:-12","12",1,133500000,"-",2,1
0.983219178082192,"subclonal",0.001,"missegregation:-8","8",1,145500000,"-",2,1
0.998630136986301,"subclonal",0.001,"missegregation:+16","16",1,90500000,"+",4,5
0.998116438356164,"subclonal",0.001,"missegregation:-5","5",1,182000000,"-",2,1
