"Time","Clonality","Clonal_fraction","Event","Chromosome","Start","End","Type","CN_parent","CN_child"
0.0318493150684932,"clonal",1,"missegregation:+15","15",1,102000000,"+",2,3
0.204965753424658,"clonal",1,"missegregation:+10","10",1,134000000,"+",2,3
0.257876712328767,"clonal",1,"missegregation:+15","15",1,102000000,"+",3,4
0.290239726027397,"clonal",1,"missegregation:+10","10",1,134000000,"+",3,4
0.350342465753425,"clonal",1,"missegregation:+16","16",1,90500000,"+",2,3
0.404794520547945,"clonal",1,"missegregation:+9","9",1,138500000,"+",2,3
0.418664383561644,"clonal",1,"missegregation:+11","11",1,135500000,"+",2,3
0.452054794520548,"clonal",1,"missegregation:+4","4",1,190500000,"+",2,3
0.502397260273973,"clonal",1,"missegregation:+9","9",1,138500000,"+",3,4
0.571746575342466,"clonal",1,"missegregation:+7","7",1,159500000,"+",2,3
0.649315068493151,"subclonal",0.916,"missegregation:+16","16",1,90500000,"+",3,4
0.675513698630137,"subclonal",0.084,"missegregation:+16","16",1,90500000,"+",3,4
0.81986301369863,"subclonal",0.004,"missegregation:-20","20",1,64500000,"-",2,1
0.990924657534247,"subclonal",0.001,"missegregation:-3","3",1,198500000,"-",2,1
0.976027397260274,"subclonal",0.001,"missegregation:-13","13",1,114500000,"-",2,1
