"Ref_count","Alt_count","Marker"
54,52,"Truncal"
46,52,"Truncal"
48,46,"Truncal"
48,51,"Truncal"
37,63,"Truncal"
48,48,"Truncal"
47,56,"Truncal"
53,56,"Truncal"
44,45,"Truncal"
35,50,"Truncal"
44,59,"Truncal"
34,52,"Truncal"
58,42,"Truncal"
46,50,"Truncal"
45,43,"Truncal"
44,51,"Truncal"
55,50,"Truncal"
49,54,"Truncal"
33,56,"Truncal"
56,51,"Truncal"
51,63,"Truncal"
43,46,"Truncal"
53,42,"Truncal"
58,48,"Truncal"
58,65,"Truncal"
57,56,"Truncal"
47,57,"Truncal"
40,42,"Truncal"
46,38,"Truncal"
50,48,"Truncal"
35,52,"Truncal"
37,53,"Truncal"
46,47,"Truncal"
47,41,"Truncal"
62,66,"Truncal"
46,59,"Truncal"
45,45,"Truncal"
47,52,"Truncal"
48,51,"Truncal"
43,33,"Truncal"
48,39,"Truncal"
49,70,"Truncal"
34,34,"Truncal"
46,45,"Truncal"
38,53,"Truncal"
63,50,"Truncal"
52,59,"Truncal"
50,54,"Truncal"
49,43,"Truncal"
57,59,"Truncal"
48,38,"Truncal"
46,52,"Truncal"
42,56,"Truncal"
42,62,"Truncal"
49,51,"Truncal"
48,35,"Truncal"
51,46,"Truncal"
46,44,"Truncal"
44,50,"Truncal"
64,61,"Truncal"
43,45,"Truncal"
42,61,"Truncal"
46,54,"Truncal"
51,47,"Truncal"
66,52,"Truncal"
48,49,"Truncal"
55,59,"Truncal"
44,59,"Truncal"
55,57,"Truncal"
60,44,"Truncal"
47,44,"Truncal"
54,41,"Truncal"
56,41,"Truncal"
54,52,"Truncal"
41,58,"Truncal"
45,43,"Truncal"
47,52,"Truncal"
52,50,"Truncal"
41,55,"Truncal"
34,46,"Truncal"
52,64,"Truncal"
48,53,"Truncal"
48,56,"Truncal"
42,59,"Truncal"
47,40,"Truncal"
49,47,"Truncal"
42,43,"Truncal"
50,52,"Truncal"
47,56,"Truncal"
53,60,"Truncal"
39,54,"Truncal"
54,52,"Truncal"
39,55,"Truncal"
43,59,"Truncal"
61,51,"Truncal"
44,42,"Truncal"
44,52,"Truncal"
58,49,"Truncal"
43,48,"Truncal"
46,63,"Truncal"
53,52,"Truncal"
51,41,"Truncal"
53,45,"Truncal"
54,53,"Truncal"
69,29,"Truncal"
55,54,"Truncal"
35,48,"Truncal"
42,53,"Truncal"
37,61,"Truncal"
48,51,"Truncal"
56,45,"Truncal"
46,53,"Truncal"
49,44,"Truncal"
49,65,"Truncal"
56,47,"Truncal"
58,51,"Truncal"
53,44,"Truncal"
44,56,"Truncal"
45,50,"Truncal"
60,42,"Truncal"
54,40,"Truncal"
41,54,"Truncal"
36,51,"Truncal"
33,49,"Truncal"
61,53,"Truncal"
49,52,"Truncal"
45,49,"Truncal"
63,41,"Truncal"
53,58,"Truncal"
49,42,"Truncal"
48,53,"Truncal"
42,56,"Truncal"
