chr	startpos	endpos	nMajor	nMinor
1	61735	10427928	1	1
1	10428257	10521313	2	1
1	10521990	26613862	1	1
1	26614190	27193445	1	0
1	27193722	151886189	1	1
1	151886412	152106520	2	1
1	152106823	183541574	1	1
1	183544654	183704660	2	1
1	183706796	225332510	1	1
1	225333842	225711110	2	1
1	225712708	248930189	1	1
2	12784	41898963	1	1
2	41899263	42022503	3	2
2	42023409	112704822	1	1
2	112705481	113774455	2	1
2	113776041	211942920	1	1
2	211943382	212216817	1	0
2	212223191	212451816	0	0
2	212451849	242147305	1	0
3	18667	13458469	1	1
3	13459754	13628193	2	1
3	13633102	13837706	3	2
3	13848988	22942690	1	1
3	22943316	23367506	1	0
3	23369643	66059007	1	1
3	66062744	66453584	2	1
3	66457482	155917504	1	1
3	155920896	168891220	2	1
3	168899622	169038625	6	2
3	169039699	172023855	2	1
3	172027000	173100799	3	2
3	173101175	198169247	2	1
4	12281	4751283	1	0
4	4757567	37021497	2	1
4	37025117	37807053	5	1
4	37810580	42994581	2	1
4	42995123	76811791	1	1
4	76815448	91112941	1	0
4	91115118	91325660	2	0
4	91326894	91367530	3	0
4	91368188	190106768	1	0
5	15532	46172275	2	1
5	46174762	46389171	2	0
5	50136997	64594918	1	0
5	64595654	65556244	2	0
5	65558110	181363319	1	0
6	149661	18379791	1	1
6	18381922	18397795	2	1
6	18398200	18474534	3	1
6	18476291	18515492	14	0
6	18520695	18559456	2	1
6	18559517	21779316	1	1
6	21780558	24458233	2	1
6	24458264	33886956	1	1
6	33887039	34164831	2	1
6	34166743	43715466	1	1
6	43716670	44686634	2	1
6	44691849	99867151	1	1
6	99869270	100699219	2	1
6	100704755	110299230	1	1
6	110299795	110455090	2	1
6	110460730	124953193	1	1
6	124955662	125229667	1	0
6	125234021	130343503	1	1
6	130344244	130393194	1	0
6	130397221	150862739	1	1
6	150867555	151017753	1	0
6	151018001	170741917	1	1
7	43259	99264292	1	1
7	99265396	159334314	1	0
8	81254	36975154	1	0
8	36984444	37391868	7	1
8	37393110	43558812	4	1
8	43559012	101589297	2	1
8	101589547	101745081	4	1
8	101745492	140600263	2	1
8	140600965	141169248	3	2
8	141169703	145072769	2	1
9	46587	42995504	1	1
9	60840363	127317802	1	0
9	127318413	128572550	2	0
9	128572563	138200944	1	0
10	26823	59261396	1	1
10	59262965	60564770	3	1
10	60565534	75709472	1	1
10	75709586	76246319	1	0
10	76246379	133769379	1	1
11	198572	88909791	1	1
11	88912812	89671970	2	1
11	89674223	102410883	1	1
11	102411721	102688024	3	1
11	102692569	135074876	1	1
12	51460	99816725	1	1
12	99816818	100252232	1	0
12	100257450	124168675	1	1
12	124170083	124984162	2	1
12	124987055	133201603	1	1
13	18452809	44197576	1	1
13	44198148	44334605	2	1
13	44336600	98646452	1	1
13	98646555	99517571	2	1
13	99517768	106041678	1	1
13	106041718	106186964	1	0
13	106187078	114342922	1	1
14	18225647	25034593	1	0
14	25035782	25140041	2	0
14	25140067	39347607	1	0
14	39351949	39880158	2	0
14	39880318	103261911	1	0
14	103262119	103498591	2	1
14	103500962	106016425	2	0
14	106030809	106877229	0	0
15	19811075	66762708	1	0
15	66764233	66921492	3	0
15	66921770	92749272	1	0
15	92750606	92937630	2	1
15	92938770	101928837	1	0
16	10777	4724236	1	0
16	4724353	5233490	2	0
16	5235519	34962980	1	0
16	34963231	36048855	1	1
16	46429870	89610380	1	0
16	89612644	90221127	2	1
17	150733	17722187	1	0
17	17725971	18290052	2	0
17	18301504	26960035	1	0
17	26970127	30199761	1	1
17	30200476	45255789	1	0
17	45257611	76339739	1	1
17	76340464	76536192	3	1
17	76540680	80808004	1	1
17	80808540	81178275	2	2
17	81181217	83090856	1	1
18	48133	65086750	1	1
18	65090114	65181674	1	0
18	65183747	80257174	1	1
19	90910	1228293	2	0
19	1228302	6479560	1	0
19	6480954	8460711	1	1
19	8465771	9408733	1	0
19	9408777	49145794	1	1
19	49147785	49825179	2	1
19	49826987	51533068	1	1
19	51533385	51707127	1	0
19	51710490	58586487	1	1
20	80664	33501177	1	1
20	33501435	34222360	2	1
20	34225630	64324800	1	1
21	10336543	43732619	1	1
21	43733620	43866654	3	1
21	43868938	46677045	1	1
22	15294545	23529947	1	1
22	23530008	24330969	2	1
22	24331367	27561316	5	1
22	27561981	35551254	2	1
22	35553287	50796027	1	0
X	251810	154657664	1	1
X	154658120	156004181	1	0
